,Overall Qual,MS SubClass,Full Bath,Half Bath,Fireplaces,Gr Liv Area,Year Built,Year Remod/Add,Garage Area,TotRms AbvGrd,Open Porch SF,Wood Deck SF,Lot Area,MS Zoning,Lot Config,Condition 1,Bldg Type,House Style,Roof Style,Exterior 2nd,Exter Qual,Foundation,Heating QC,Sale Type,Kitchen Qual,Neighborhood,Lot Shape,SalePrice,Area_x_Rooms
675,5,20,1,0,2,1600,1957,1997,319.0,6,258,288,16321,RL,CulDSac,Norm,1Fam,1Story,Gable,MetalSd,TA,CBlock,TA,WD ,TA,NAmes,IR1,207500,9600
1127,6,20,1,1,1,1537,1962,2005,462.0,7,36,0,8400,RL,Inside,Norm,1Fam,1Story,Gable,Wd Sdng,Gd,CBlock,TA,COD,Gd,NAmes,Reg,174000,10759
784,6,70,2,0,0,2210,1880,1950,205.0,8,48,0,9900,RM,Inside,Norm,1Fam,2Story,Gable,Wd Sdng,TA,BrkTil,TA,WD ,Fa,OldTown,Reg,117500,17680
628,6,20,1,1,1,1336,1958,1958,488.0,7,0,80,9610,RL,Corner,Feedr,1Fam,1Story,Hip,Wd Sdng,TA,CBlock,Ex,WD ,TA,NAmes,IR1,162000,9352
901,4,190,1,0,0,784,1955,1955,0.0,4,0,112,6931,RL,Inside,Norm,2fmCon,1Story,Hip,Wd Sdng,TA,CBlock,TA,WD ,TA,Edwards,Reg,91900,3136
132,6,160,2,1,1,1456,1977,1977,440.0,6,28,0,2349,RL,Inside,Norm,Twnhs,2Story,Gable,Brk Cmn,TA,CBlock,TA,WD ,TA,NPkVill,Reg,137900,8736
1795,8,120,1,0,1,1226,1978,1978,484.0,4,60,133,3876,RL,Inside,Norm,Twnhs,1Story,Gable,Plywood,Gd,CBlock,TA,WD ,Gd,Greens,IR1,170000,4904
880,8,60,2,1,1,1964,2005,2006,760.0,8,70,200,12447,RL,Inside,RRAn,1Fam,2Story,Gable,CmentBd,Gd,PConc,Ex,New,Gd,Somerst,IR1,252000,15712
421,6,20,1,1,0,1158,2004,2004,576.0,5,50,0,13072,RL,Inside,RRAe,1Fam,1Story,Gable,VinylSd,TA,PConc,Ex,New,Gd,SawyerW,Reg,158000,5790
322,7,20,2,0,0,1402,2008,2008,625.0,7,126,205,8640,FV,Inside,Norm,1Fam,1Story,Hip,VinylSd,Gd,PConc,Ex,WD ,Gd,Somerst,Reg,229800,9814
1594,4,90,2,0,0,1152,1955,1955,0.0,6,0,0,6012,RL,Corner,Norm,Duplex,1Story,Gable,Plywood,TA,PConc,TA,WD ,TA,Edwards,Reg,82000,6912
607,7,20,2,0,0,1536,2002,2003,532.0,7,74,192,9135,RL,Inside,Norm,1Fam,1Story,Gable,VinylSd,Gd,PConc,Ex,WD ,Gd,CollgCr,Reg,214000,10752
116,5,20,1,1,2,1466,1959,1959,528.0,6,140,0,17755,RL,Inside,Norm,1Fam,1Story,Gable,Plywood,TA,CBlock,TA,WD ,Fa,Edwards,Reg,149900,8796
704,5,30,1,0,0,899,1910,1950,200.0,5,0,0,6756,RM,Inside,Norm,1Fam,1Story,Mansard,MetalSd,TA,BrkTil,TA,WD ,TA,OldTown,Reg,78000,4495
152,6,20,1,1,2,1478,1957,1957,442.0,6,0,114,8400,RL,Inside,Norm,1Fam,1Story,Hip,BrkFace,TA,CBlock,Gd,WD ,TA,NAmes,Reg,156500,8868
629,5,50,1,1,0,1558,1950,1950,282.0,6,0,289,13710,RM,Inside,Norm,1Fam,1.5Fin,Gable,Wd Sdng,TA,CBlock,TA,WD ,TA,IDOTRR,Reg,152000,9348
29,5,50,1,0,1,924,1949,2006,576.0,6,0,0,8064,RL,Corner,Artery,1Fam,1.5Fin,Gable,MetalSd,TA,CBlock,Ex,WD ,TA,NAmes,Reg,122900,5544
1531,4,50,1,0,0,1540,1955,1955,352.0,7,0,0,7150,RL,Inside,Norm,1Fam,1.5Fin,Gable,MetalSd,TA,PConc,Gd,WD ,Fa,NAmes,Reg,115000,10780
454,7,160,2,1,0,1080,2003,2003,496.0,4,50,0,2403,FV,FR2,Norm,TwnhsE,2Story,Gable,VinylSd,Gd,PConc,Ex,WD ,Gd,Somerst,IR1,147110,4320
1475,5,20,1,0,0,984,1965,1965,310.0,5,0,0,9308,RL,CulDSac,RRNe,1Fam,1Story,Gable,HdBoard,TA,CBlock,TA,WD ,TA,Sawyer,IR1,126000,4920
563,6,60,2,1,1,2060,1988,1989,521.0,8,228,0,10029,RL,Corner,Norm,1Fam,2Story,Gable,Plywood,Gd,PConc,TA,WD ,TA,ClearCr,IR1,211000,16480
1004,8,60,2,1,1,2810,1990,1990,750.0,9,0,500,9572,RL,Inside,Norm,1Fam,2Story,Gable,Wd Sdng,Gd,PConc,Ex,WD ,Gd,NoRidge,IR1,302000,25290
14,7,20,2,0,0,1361,2007,2007,610.0,6,50,0,9627,RL,Inside,Norm,1Fam,1Story,Gable,VinylSd,Gd,PConc,Ex,WD ,Gd,CollgCr,Reg,193000,8166
453,5,20,1,0,0,1174,1978,1978,528.0,5,0,211,12250,RL,Inside,Norm,1Fam,1Story,Gable,HdBoard,TA,CBlock,Ex,WD ,TA,CollgCr,IR1,158000,5870
140,4,20,1,0,0,864,1951,1951,400.0,4,0,0,19138,RL,Corner,Norm,1Fam,1Story,Gable,VinylSd,TA,CBlock,Ex,WD ,TA,Gilbert,Reg,141000,3456
1298,7,20,2,0,0,1335,2006,2007,575.0,6,210,0,9000,FV,Inside,Norm,1Fam,1Story,Gable,VinylSd,Gd,PConc,Ex,New,Gd,Somerst,Reg,210400,8010
882,7,45,1,0,0,854,1929,2001,576.0,5,112,48,6120,RM,Corner,Norm,1Fam,1.5Unf,Gable,Wd Sdng,TA,BrkTil,Ex,WD ,TA,BrkSide,Reg,132000,4270
696,3,30,1,0,0,640,1945,2007,240.0,5,0,0,8777,RL,Inside,Feedr,1Fam,1Story,Gable,VinylSd,TA,CBlock,TA,ConLD,TA,Edwards,Reg,84900,3200
1627,8,120,2,0,1,1324,2006,2006,550.0,6,38,192,6240,RL,Inside,Norm,TwnhsE,1Story,Hip,MetalSd,Gd,PConc,Ex,WD ,Gd,NridgHt,Reg,254000,7944
1403,5,85,1,0,0,768,1972,2007,396.0,5,0,58,8445,RL,Corner,Norm,1Fam,SFoyer,Gable,Wd Shng,TA,CBlock,TA,WD ,TA,CollgCr,Reg,133000,3840
685,9,20,2,0,2,2490,2005,2006,795.0,9,226,70,11128,RL,Corner,PosN,1Fam,1Story,Hip,VinylSd,Ex,PConc,Ex,WD ,Ex,Somerst,Reg,468000,22410
1653,5,20,1,0,2,1176,1957,1957,292.0,6,88,0,8856,RL,Inside,Norm,1Fam,1Story,Gable,Wd Sdng,TA,CBlock,TA,WD ,TA,NAmes,Reg,136500,7056
1137,6,90,2,0,0,980,1975,1975,0.0,4,0,0,9400,RL,CulDSac,Norm,Duplex,SFoyer,Flat,Plywood,TA,CBlock,TA,WD ,TA,Edwards,IR1,127500,3920
324,5,20,1,0,0,1051,1968,1968,504.0,6,0,0,9600,RL,Corner,Feedr,1Fam,1Story,Gable,MetalSd,TA,CBlock,Gd,WD ,TA,NAmes,Reg,142000,6306
1995,5,20,1,0,0,894,1962,1962,308.0,5,0,0,6600,RL,Inside,PosN,1Fam,1Story,Hip,MetalSd,TA,CBlock,Gd,WD ,TA,NAmes,Reg,109500,4470
1691,5,20,1,0,0,1050,1956,1956,338.0,5,0,0,9600,RL,Inside,Norm,1Fam,1Story,Hip,MetalSd,TA,CBlock,Gd,WD ,TA,NAmes,Reg,128900,5250
548,5,50,1,0,0,1159,1925,1950,288.0,5,0,84,7506,RL,Corner,Norm,1Fam,1.5Fin,Gable,VinylSd,TA,PConc,TA,WD ,TA,OldTown,Reg,114000,5795
1599,5,80,2,0,1,1774,1961,1961,384.0,8,40,290,15400,RL,Inside,Norm,1Fam,SLvl,Hip,HdBoard,TA,CBlock,TA,WD ,TA,Sawyer,Reg,165000,14192
1523,7,20,2,0,2,2365,1971,2009,551.0,7,144,200,17597,RL,Inside,Norm,1Fam,1Story,Hip,BrkFace,Gd,CBlock,TA,WD ,Ex,Crawfor,Reg,315000,16555
1293,7,60,2,1,2,2840,1978,1978,1314.0,8,16,0,12511,RL,Corner,Norm,1Fam,2Story,Mansard,Plywood,Gd,PConc,Ex,WD ,Gd,NWAmes,IR1,292500,22720
1176,6,50,2,0,1,1236,1925,1950,384.0,6,0,0,7006,RM,Inside,Norm,1Fam,1.5Fin,Gable,Stucco,TA,PConc,TA,WD ,TA,IDOTRR,Reg,127000,7416
768,4,50,1,0,0,1123,1939,1950,264.0,4,0,0,6060,RM,Inside,Norm,1Fam,1.5Fin,Gable,AsbShng,TA,PConc,Gd,WD ,TA,IDOTRR,Reg,100000,4492
126,8,60,2,1,1,1414,2004,2004,403.0,6,35,100,9056,RL,Inside,Norm,1Fam,2Story,Gable,VinylSd,Gd,PConc,Ex,WD ,Gd,Gilbert,IR1,178000,8484
1903,7,60,2,1,1,1792,2001,2001,564.0,7,96,0,12435,RL,Inside,Norm,1Fam,2Story,Gable,VinylSd,Gd,PConc,Ex,WD ,Gd,CollgCr,Reg,231500,12544
1116,5,30,1,0,0,960,1926,1980,576.0,5,0,0,6978,RM,Inside,Artery,1Fam,1Story,Gable,MetalSd,Gd,BrkTil,TA,WD ,TA,OldTown,Reg,103000,4800
769,5,20,1,0,0,874,1968,2003,288.0,5,120,0,10172,RL,Inside,Norm,1Fam,1Story,Gable,Plywood,TA,CBlock,Ex,WD ,TA,Mitchel,IR1,126500,4370
2032,6,80,2,0,1,1285,1977,1977,473.0,6,26,375,9620,RL,Inside,Norm,1Fam,SLvl,Gable,Plywood,TA,CBlock,TA,WD ,Gd,Mitchel,Reg,190000,7710
592,6,20,2,0,1,1334,1977,1977,630.0,6,16,0,9650,RL,Inside,Norm,1Fam,1Story,Gable,Plywood,TA,CBlock,TA,WD ,TA,NWAmes,Reg,167900,8004
1976,7,60,2,1,0,1839,1998,1998,486.0,7,81,0,16770,RL,CulDSac,Norm,1Fam,2Story,Gable,VinylSd,Gd,PConc,Gd,WD ,TA,NoRidge,IR2,221000,12873
1872,9,120,2,0,1,1577,2005,2005,564.0,6,39,203,7841,RL,Inside,Norm,TwnhsE,1Story,Hip,MetalSd,Ex,PConc,Ex,WD ,Ex,NridgHt,IR1,280000,9462
1714,4,20,1,0,0,864,1955,1955,528.0,5,0,196,8172,RL,Inside,Norm,1Fam,1Story,Gable,Plywood,TA,CBlock,TA,COD,TA,Edwards,Reg,79275,4320
1378,5,60,1,1,0,1287,1992,1992,440.0,6,0,150,10429,RL,Inside,Norm,1Fam,2Story,Gable,Wd Shng,TA,PConc,TA,WD ,TA,Mitchel,Reg,130000,7722
835,8,60,2,1,1,2799,1993,1993,704.0,8,136,432,12585,RL,Inside,Norm,1Fam,2Story,Gable,ImStucc,Gd,PConc,Ex,WD ,Gd,NoRidge,IR1,315000,22392
1699,8,20,2,0,1,1564,2006,2007,502.0,6,0,132,8298,RL,Inside,Norm,1Fam,1Story,Hip,VinylSd,Gd,PConc,Ex,New,Ex,Timber,IR1,267300,9384
495,5,50,1,0,0,1214,1901,1950,216.0,6,0,0,5680,RM,Inside,Norm,1Fam,1.5Fin,Gable,AsbShng,TA,CBlock,TA,WD ,TA,OldTown,Reg,117000,7284
1543,7,60,2,1,1,1958,2005,2005,936.0,9,210,154,10625,FV,Inside,Norm,1Fam,2Story,Gable,CmentBd,Gd,PConc,Ex,WD ,Gd,Somerst,Reg,250000,17622
715,5,20,1,0,0,1041,1958,1958,294.0,6,0,0,7350,RL,Inside,Norm,1Fam,1Story,Hip,BrkFace,TA,CBlock,Gd,WD ,TA,NAmes,Reg,128000,6246
1649,6,60,2,1,1,1655,1993,1994,440.0,7,84,157,10000,RL,Corner,Norm,1Fam,2Story,Gable,HdBoard,TA,PConc,Gd,WD ,TA,Gilbert,IR1,175900,11585
1364,7,50,2,1,0,2082,2003,2003,484.0,6,238,280,11426,RM,Inside,Norm,1Fam,1.5Fin,Gable,VinylSd,TA,PConc,Ex,WD ,Gd,OldTown,Reg,200000,12492
1879,6,60,2,1,1,1600,1997,1997,460.0,7,38,100,8773,RL,Inside,Norm,1Fam,2Story,Gable,VinylSd,TA,PConc,Gd,WD ,TA,Gilbert,IR1,169000,11200
1874,6,60,2,1,1,1671,1995,1995,423.0,7,84,0,13041,RL,Inside,Norm,1Fam,2Story,Gable,HdBoard,TA,PConc,Gd,WD ,TA,Gilbert,IR2,170000,11697
185,7,20,2,0,1,1266,2005,2005,453.0,6,144,38,7500,FV,Inside,Norm,1Fam,1Story,Gable,VinylSd,Gd,PConc,Ex,WD ,Gd,Somerst,Reg,176000,7596
697,6,160,2,1,1,1322,1974,1974,440.0,6,0,260,2308,RL,Inside,Norm,TwnhsE,2Story,Gable,Brk Cmn,TA,CBlock,TA,WD ,TA,NPkVill,Reg,147000,7932
813,5,20,1,1,1,1700,1959,1959,447.0,6,38,0,10552,RL,Inside,Norm,1Fam,1Story,Hip,BrkFace,TA,CBlock,Gd,WD ,Gd,NAmes,IR1,165500,10200
1774,5,20,1,1,1,1238,1950,1950,357.0,6,171,0,7200,RL,Inside,Norm,1Fam,1Story,Gable,Wd Shng,TA,CBlock,Fa,WD ,TA,NAmes,Reg,102000,7428
8,5,20,1,0,0,924,1952,1952,420.0,6,324,0,15783,RL,Inside,Artery,1Fam,1Story,Gable,Wd Sdng,TA,CBlock,TA,WD ,TA,OldTown,Reg,112500,5544
317,9,60,2,1,1,2473,2006,2006,675.0,11,39,246,12292,RL,CulDSac,Norm,1Fam,2Story,Hip,VinylSd,Gd,PConc,Ex,New,Gd,StoneBr,IR1,356383,27203
1490,6,50,2,0,2,1664,1947,1950,420.0,7,24,0,5000,RM,Corner,Feedr,1Fam,1.5Fin,Gable,CmentBd,TA,CBlock,Ex,WD ,TA,BrkSide,Reg,159000,11648
661,9,60,2,1,1,1947,2001,2002,725.0,7,116,168,9720,RL,CulDSac,Norm,1Fam,2Story,Gable,VinylSd,Gd,PConc,Ex,WD ,Gd,CollgCr,IR1,274000,13629
1818,6,50,1,1,0,1668,1950,2005,271.0,6,0,0,9600,RL,Inside,Norm,1Fam,1.5Fin,Gable,VinylSd,TA,CBlock,Ex,WD ,TA,NAmes,Reg,140000,10008
1266,8,60,2,1,1,1989,2002,2002,586.0,7,60,199,11367,RL,Corner,Norm,1Fam,2Story,Gable,VinylSd,Gd,PConc,Ex,WD ,Gd,CollgCr,Reg,255000,13923
1924,8,60,2,1,1,2232,1993,1994,623.0,8,165,173,11692,RL,Inside,Norm,1Fam,2Story,Gable,HdBoard,Gd,PConc,Ex,WD ,Gd,NoRidge,IR1,263550,17856
790,5,20,1,0,0,1014,1956,1956,267.0,6,0,0,7785,RL,Inside,Norm,1Fam,1Story,Gable,HdBoard,TA,Slab,TA,WD ,TA,NAmes,IR1,98000,6084
587,5,20,1,0,0,874,1968,1968,288.0,5,0,33,9858,RL,Inside,Norm,1Fam,1Story,Gable,HdBoard,TA,CBlock,TA,WD ,TA,Mitchel,Reg,130000,4370
36,5,160,2,0,1,1475,1977,1977,336.0,6,26,104,2665,RM,Inside,Norm,TwnhsE,2Story,Gable,CmentBd,TA,PConc,Ex,WD ,TA,MeadowV,Reg,127000,8850
1495,5,20,1,0,0,900,1967,1967,280.0,5,0,0,9819,RL,Inside,Norm,1Fam,1Story,Gable,MetalSd,TA,CBlock,TA,WD ,TA,Sawyer,IR1,122000,4500
267,4,20,1,0,0,1005,1964,1964,440.0,5,0,0,14299,RL,Inside,Feedr,1Fam,1Story,Gable,HdBoard,TA,CBlock,TA,WD ,TA,Sawyer,Reg,115400,5025
795,7,60,2,1,1,1718,1998,1998,427.0,7,94,0,10141,RL,Corner,Norm,1Fam,2Story,Gable,VinylSd,TA,PConc,Gd,WD ,TA,Gilbert,IR1,185000,12026
1445,6,80,1,0,1,1212,1977,1995,492.0,6,12,292,8471,RL,Corner,Norm,1Fam,SLvl,Gable,Plywood,TA,CBlock,TA,WD ,TA,Sawyer,IR1,151000,7272
1183,4,20,1,0,1,1362,1957,1957,768.0,6,0,0,9450,RL,Corner,Norm,1Fam,1Story,Gable,Wd Sdng,TA,CBlock,TA,WD ,TA,NAmes,IR1,140000,8172
331,6,80,3,1,1,1868,1984,2003,477.0,7,112,268,12090,RL,Inside,Norm,1Fam,SLvl,Hip,VinylSd,TA,CBlock,Ex,WD ,TA,NWAmes,Reg,178000,13076
252,4,70,1,0,0,906,1937,1950,231.0,5,0,0,4882,RL,Inside,RRAn,1Fam,2Story,Gable,MetalSd,TA,PConc,TA,WD ,TA,BrkSide,IR1,87000,4530
76,5,30,1,0,1,872,1924,1950,322.0,5,0,0,17529,RL,Inside,Norm,1Fam,1Story,Gable,Wd Sdng,TA,BrkTil,Fa,WD ,Fa,Sawyer,Reg,105000,4360
1281,7,120,2,0,1,1504,2005,2006,457.0,7,0,156,3182,RL,Inside,Norm,TwnhsE,1Story,Gable,VinylSd,Gd,PConc,Ex,WD ,Gd,Blmngtn,Reg,181000,10528
86,7,20,2,0,0,1200,2003,2003,555.0,5,41,0,10083,RL,Inside,Norm,1Fam,1Story,Gable,VinylSd,Gd,PConc,Ex,WD ,Gd,SawyerW,Reg,184900,6000
1981,5,180,1,0,0,1072,2005,2005,525.0,5,28,0,3675,RM,Inside,Norm,TwnhsE,SLvl,Gable,VinylSd,TA,PConc,Gd,WD ,TA,Edwards,Reg,145000,5360
877,7,85,1,0,0,999,1961,2007,588.0,6,76,144,12122,RL,Corner,Norm,1Fam,SFoyer,Gable,CmentBd,Ex,CBlock,Gd,WD ,Ex,NAmes,IR1,178400,5994
1530,5,20,1,1,1,1159,1968,1968,336.0,7,0,466,11553,RL,Inside,Norm,1Fam,1Story,Hip,Plywood,TA,CBlock,TA,WD ,TA,Sawyer,IR1,158000,8113
1618,6,60,2,1,1,2640,1967,1997,515.0,8,120,0,10400,RL,Inside,PosA,1Fam,2Story,Gable,MetalSd,TA,PConc,Gd,WD ,Gd,NWAmes,Reg,256900,21120
998,9,20,2,0,1,1838,2005,2006,682.0,9,225,161,11577,RL,Inside,Norm,1Fam,1Story,Hip,VinylSd,Ex,PConc,Ex,New,Ex,Timber,Reg,359900,16542
1231,8,120,1,0,1,1321,1990,1990,484.0,4,64,0,5118,RL,Inside,Norm,TwnhsE,1Story,Gable,CmentBd,Gd,PConc,Gd,WD ,Gd,StoneBr,IR1,212000,5284
1357,5,20,2,0,2,1621,1975,1975,478.0,7,0,0,9373,RL,CulDSac,PosN,1Fam,1Story,Gable,HdBoard,TA,CBlock,TA,WD ,TA,NWAmes,IR1,213000,11347
283,7,60,2,1,0,1660,2002,2002,493.0,7,68,144,8935,RL,Inside,Norm,1Fam,2Story,Gable,VinylSd,Gd,PConc,Ex,WD ,Gd,CollgCr,IR1,195000,11620
1608,8,80,2,1,1,1419,2002,2002,527.0,7,0,120,7750,RL,Inside,Norm,1Fam,SLvl,Hip,VinylSd,Gd,PConc,Ex,WD ,Gd,Gilbert,Reg,184100,9933
1072,8,120,2,0,1,1378,2004,2004,540.0,6,56,160,4379,FV,FR2,Norm,TwnhsE,1Story,Gable,MetalSd,Gd,PConc,Ex,WD ,Gd,Somerst,IR1,214000,8268
38,7,20,1,1,1,1242,1973,1973,528.0,6,0,0,9600,RL,Inside,Norm,1Fam,1Story,Hip,HdBoard,TA,CBlock,Fa,WD ,TA,NWAmes,Reg,175500,7452
160,5,30,2,0,0,1416,1918,2007,576.0,7,0,0,25339,RL,Inside,Norm,1Fam,1Story,Gable,Wd Sdng,TA,BrkTil,Ex,WD ,Gd,Sawyer,Reg,112000,9912
806,6,180,1,0,0,1072,2005,2006,525.0,5,28,0,3675,RM,Inside,Norm,TwnhsE,SFoyer,Gable,VinylSd,TA,Wood,Gd,WD ,TA,Edwards,Reg,145500,5360
1843,6,60,2,1,2,1953,1992,1992,501.0,9,231,216,53107,RL,Corner,Feedr,1Fam,2Story,Gable,HdBoard,Gd,PConc,Ex,WD ,Gd,ClearCr,IR2,240000,17577
